proxy,site,sol,date,roll,window,RMSD,depth,age_floating,age_slider,kpg_age,age,value,long_ecc_filter,short_ecc_filter,comb_ecc_filter,ecc_sln
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,58.63666319444445,1572.0339843750003,-16.8,65900,67455.233984375,0.10910891019324453,0.06881740483738928,0.13968000319245472,-1.022278815282907,0.5969442706519799
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,58.72792245370371,1574.8339843750002,-16.8,65900,67458.033984375,0.8768218403436996,0.07934919215756903,0.19733192552094547,-1.285946489134296,0.52866398883281
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,58.81918171296297,1577.6339843750002,-16.8,65900,67460.833984375,0.5065767838014661,0.08975566731452281,0.2493490645164569,-1.5290053857762678,0.4340937632715392
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,58.91044097222223,1580.4339843750001,-16.8,65900,67463.633984375,0.08622788551900437,0.10001724594463526,0.2941400238148231,-1.7457253456523518,0.3261575970897221
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,59.00170023148149,1583.2339843750003,-16.8,65900,67466.43398437499,0.6908142538119064,0.11011454199379185,0.3303020812010344,-1.9310434459395622,0.19677048203873704
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,59.09295949074075,1586.0339843750003,-16.8,65900,67469.233984375,1.6502320749175643,0.12002840613020639,0.356666121260214,-2.080722852305532,0.05501039876341922
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,59.18421875000001,1588.8339843750002,-16.8,65900,67472.033984375,2.245304618038825,0.1297399637951191,0.372335255342469,-2.1914893819803902,-0.10288546345942752
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,59.27547800925927,1591.6339843750002,-16.8,65900,67474.833984375,1.8996952041569308,0.1392306528113773,0.37671584023065596,-2.261141228311165,-0.2675406744306832
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,59.36673726851853,1594.4339843750001,-16.8,65900,67477.633984375,0.976214034164276,0.14848226047074004,0.3695398236175642,-2.2886280620812234,-0.44052722910929576
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,59.45799652777779,1597.2339843750003,-16.8,65900,67480.43398437499,0.36968859776147567,0.15747696002176212,0.350877598233913,-2.274096620681192,-0.610862590074246
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,59.54925578703705,1600.0339843750003,-16.8,65900,67483.233984375,0.07099644329108505,0.1661973464812932,0.32114082954704115,-2.2189008956187477,-0.7835255962015806
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,59.64051504629631,1602.8339843750002,-16.8,65900,67486.033984375,0.06903588857245778,0.1746264716939879,0.2810750256566487,-2.125576101082739,-0.9511074167080442
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,59.73177430555557,1605.6339843750002,-16.8,65900,67488.833984375,0.10099057115760227,0.18274787856574332,0.2317419328696503,-1.997776717867841,-1.1152690815909583
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,59.82303356481482,1608.4339843750001,-16.8,65900,67491.633984375,0.3421146649070985,0.19054563439867414,0.1744921565056777,-1.84018002284283,-1.2643808276344306
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,59.91429282407409,1611.2339843750003,-16.8,65900,67494.43398437499,0.8878297617502838,0.19800436325708193,0.11092871369961617,-1.658357598762553,-1.3938279058561827
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,60.00555208333334,1614.0339843750003,-16.8,65900,67497.233984375,1.0451956766616881,0.20510927729588607,0.042862513456647836,-1.4586183377311897,-1.482951145201381
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,60.0968113425926,1616.8339843750002,-16.8,65900,67500.033984375,0.9633636283190395,0.21184620698513804,-0.027738980369804996,-1.2478273710183674,-1.5179220912966052
Lstar,Zumaia,ZB18a,2024-03-27,10000000000,taner,1.2226668401451715,60.19023971721703,1619.6339843750002,-16.8,65900,67502.833984375,0.9056170579084329,0.21820163016655084,-0.09880842368197928,-1.0332061481451882,-1.4938739200628233
