depth,magsus,reflec,d13C_VPDB,comment
5304.5,16.2,44.7397,0.7090265237090847,NA
5315.5,15.1,47.20935,NA,NA
5326.5,17.9,44.03435,NA,NA
5341.25,15.7,44.6156,1.419862924985205,NA
5359.75,17.7,42.6057,NA,NA
5372.2,13.6,45.4574,NA,NA
5378.6,18.5,44.71005,NA,NA
5385,20.8,44.99215,0.7895393191826123,NA
5391.4,15.6,42.687325,NA,NA
5397.8,17.5,46.048525,NA,NA
5410,17.2,46.329525,NA,NA
5425.5,12.9,46.88625,1.642826860023014,NA
5440.5,16.1,44.17065,NA,NA
5453,15.4,47.0615,NA,NA
5462,15.9,41.3776,NA,NA
5470,17.5,45.844075,0.9002880571520482,NA
5477.167,19.9,43.07515,NA,NA
5483.5,15.9,47.75295,NA,NA
5489.833,7.9,48.3378,NA,NA
5500,11.1,48.67625,NA,NA
5514,15.7,44.92055,1.481825124290907,NA
5528,13.1,44.98895,NA,NA
5540.429,11.3,48.2069,NA,NA
5551.286,17,45.752,NA,NA
5562.143,17.1,45.397,NA,NA
5573,18.5,44.86435,0.9815784696148864,NA
5583.857,17.5,43.5281,NA,NA
5594.714,16.7,46.28675,NA,NA
5605.571,15.5,49.25285,NA,NA
5620.667,16.2,48.5543,NA,NA
5640,17.3,51.6281,1.6297573771967446,NA
5659.333,11.9,44.39895,NA,NA
5674,19.3,45.69495,NA,NA
5684,19.1,51.3457,NA,NA
5694,17.5,47.3982,NA,NA
5704,18.7,46.9063,1.2805339398268494,NA
5714,18.3,44.53645,NA,NA
5724,19.4,48.4007,NA,NA
5734,14.9,43.94305,NA,NA
5742,16.9,43.51115,NA,NA
5748,15.1,48.50525,1.5932690129193396,NA
5754,12.8,46.61275,NA,NA
5764,17.9,43.69345,NA,NA
5778,14.1,40.6466,NA,NA
5792,14.9,45.17745,0.4786284459337722,NA
5806,16.2,45.2685,NA,NA
5820,11.9,41.961433,NA,NA
5832.75,11.7,46.7198,1.6699478531165806,NA
5844.25,11.3,47.66775,NA,NA
5853.2,10.9,50.3877,NA,NA
